Date,Open,High,Low,Close,Adj Close,Volume
2017-04-13,53.349998,53.790001,53.189999,53.200001,52.594711,1736800
2017-04-17,53.500000,53.980000,53.320000,53.970001,53.355949,1173400
2017-04-18,53.779999,54.209999,53.650002,53.980000,53.365837,1211600
2017-04-19,54.150002,54.389999,53.709999,53.860001,53.247200,1130400
2017-04-20,54.189999,54.880001,54.110001,54.770000,54.146847,1658900
2017-04-21,54.799999,55.169998,54.759998,54.840000,54.216053,2092800
2017-04-24,55.529999,56.660000,55.279999,56.580002,55.936256,2501800
2017-04-25,56.939999,57.330002,56.689999,57.029999,56.381130,1810700
2017-04-26,57.119999,57.450001,57.020000,57.099998,56.450336,2058000
2017-04-27,57.110001,57.560001,56.959999,57.259998,56.608509,1391700
2017-04-28,57.230000,57.590000,56.950001,57.200001,56.549202,2094000
2017-05-01,57.389999,57.639999,56.660000,57.590000,56.934761,3255000
2017-05-02,57.509998,59.529999,57.439999,59.029999,58.358376,4210000
2017-05-03,58.900002,60.430000,58.900002,59.910000,59.228371,3772600
2017-05-04,60.000000,60.689999,59.910000,60.389999,59.702908,2431800
2017-05-05,60.419998,60.669998,60.119999,60.189999,59.505177,2398500
2017-05-08,60.110001,60.320000,59.799999,59.930000,59.248138,1476000
2017-05-09,59.790001,60.419998,59.779999,60.299999,59.613930,1056100
2017-05-10,59.959999,60.200001,59.639999,59.950001,59.267906,965200
2017-05-11,59.619999,59.880001,59.180000,59.849998,59.169044,1287600
2017-05-12,59.650002,59.830002,59.290001,59.470001,58.793373,1158000
2017-05-15,59.689999,59.930000,59.470001,59.720001,59.040527,1138300
2017-05-16,59.720001,59.950001,59.430000,59.810001,59.129501,856700
2017-05-17,59.810001,59.810001,59.049999,59.470001,58.793373,1649000
2017-05-18,59.000000,59.580002,58.730000,59.139999,58.467121,2145800
2017-05-19,59.500000,60.369999,59.360001,60.060001,59.376667,1455100
2017-05-22,60.279999,60.820000,60.139999,60.580002,59.890747,1016700
2017-05-23,60.740002,60.869999,60.439999,60.560001,59.870968,1195700
2017-05-24,60.830002,61.299999,60.630001,60.990002,60.296078,1175800
2017-05-25,61.119999,61.369999,60.869999,61.090000,60.394943,873400
2017-05-26,60.950001,61.270000,60.730000,60.869999,60.177444,568900
2017-05-30,60.650002,60.869999,60.419998,60.799999,60.108238,732400
2017-05-31,60.889999,61.099998,60.250000,61.020000,60.325737,1315500
2017-06-01,61.200001,61.750000,60.830002,61.509998,60.810162,1627100
2017-06-02,61.590000,62.189999,61.360001,61.860001,61.156181,1186100
2017-06-05,61.869999,62.130001,61.669998,61.799999,61.096855,741900
2017-06-06,61.380001,61.759998,61.250000,61.500000,60.800274,1256100
2017-06-07,61.660000,61.830002,61.230000,61.529999,60.829929,1070300
2017-06-08,61.529999,62.020000,61.250000,61.959999,61.255043,1185400
2017-06-09,62.060001,62.860001,61.970001,62.380001,61.670261,1580700
2017-06-12,62.340000,62.669998,61.750000,61.759998,61.057316,1200800
2017-06-13,61.880001,62.259998,61.720001,62.049999,61.344021,586100
2017-06-14,62.070000,62.119999,61.430000,61.540001,60.928192,900600
2017-06-15,61.169998,62.240002,61.099998,62.209999,61.591526,783300
2017-06-16,62.290001,62.619999,61.939999,62.330002,61.710342,1464400
2017-06-19,62.540001,62.889999,62.330002,62.860001,62.235062,707500
2017-06-20,62.689999,62.750000,61.830002,61.869999,61.254910,977900
2017-06-21,61.840000,61.869999,60.450001,60.509998,59.908432,1984100
2017-06-22,60.540001,60.830002,60.259998,60.580002,59.977737,994000
2017-06-23,60.540001,60.730000,60.380001,60.430000,59.829224,1653200
2017-06-26,60.709999,60.990002,60.250000,60.419998,59.819321,1160000
2017-06-27,60.320000,60.419998,60.090000,60.090000,59.492607,773000
2017-06-28,60.450001,60.810001,60.230000,60.570000,59.967831,848600
2017-06-29,60.669998,60.810001,59.560001,60.000000,59.403503,1839500
2017-06-30,60.340000,60.939999,60.340000,60.570000,59.967831,2045300
2017-07-03,61.000000,61.680000,60.740002,61.209999,60.601471,563100
2017-07-05,61.230000,61.599998,61.150002,61.220001,60.611374,988800
2017-07-06,60.970001,61.330002,60.720001,61.169998,60.561871,1050200
2017-07-07,61.349998,62.040001,61.070000,61.560001,60.947994,849500
2017-07-10,61.540001,62.139999,61.369999,61.700001,61.086601,1072900
2017-07-11,61.650002,61.820000,60.730000,61.619999,61.007393,1020300
2017-07-12,62.000000,62.310001,61.889999,62.220001,61.601429,973000
2017-07-13,62.230000,62.240002,61.700001,61.759998,61.146000,735000
2017-07-14,61.799999,62.090000,61.570000,61.900002,61.284611,758800
2017-07-17,61.869999,61.950001,61.470001,61.869999,61.254910,1014700
2017-07-18,61.660000,61.750000,61.310001,61.410000,60.799484,537700
2017-07-19,61.619999,61.630001,61.279999,61.619999,61.007393,742000
2017-07-20,61.580002,61.720001,61.070000,61.139999,60.532162,650000
2017-07-21,60.860001,60.919998,60.500000,60.910000,60.304451,1096300
2017-07-24,61.060001,61.369999,61.029999,61.209999,60.601471,686500
2017-07-25,61.619999,61.910000,61.320000,61.779999,61.165806,878100
2017-07-26,61.779999,61.959999,61.349998,61.509998,60.898487,637400
2017-07-27,61.619999,61.709999,61.189999,61.599998,60.987591,1167500
2017-07-28,61.639999,62.000000,61.290001,61.849998,61.235104,871400
2017-07-31,62.009998,62.009998,61.549999,61.580002,60.967793,771300
2017-08-01,61.740002,62.080002,61.090000,61.619999,61.007393,1200900
2017-08-02,61.310001,64.970001,60.950001,64.230003,63.591454,3210400
2017-08-03,64.339996,64.949997,63.810001,64.400002,63.759762,1078100
2017-08-04,64.510002,64.730003,64.230003,64.519997,63.878555,815300
2017-08-07,64.440002,64.589996,64.129997,64.190002,63.551849,641800
2017-08-08,64.080002,64.400002,63.630001,63.799999,63.165722,594600
2017-08-09,63.650002,63.830002,63.230000,63.560001,62.928108,886600
2017-08-10,63.240002,63.410000,62.689999,62.740002,62.116268,618000
2017-08-11,62.610001,63.020000,62.410000,62.580002,61.957855,711900
2017-08-14,63.000000,63.470001,62.860001,63.119999,62.492481,769200
2017-08-15,63.250000,63.419998,63.070000,63.110001,62.482586,536900
2017-08-16,63.419998,63.439999,63.080002,63.110001,62.482586,541600
2017-08-17,63.029999,63.270000,62.770000,62.790001,62.165764,1270200
2017-08-18,62.610001,63.169998,62.459999,62.939999,62.314270,875100
2017-08-21,62.869999,63.000000,62.230000,62.380001,61.759838,597600
2017-08-22,62.570000,63.080002,62.330002,62.939999,62.314270,690100
2017-08-23,62.590000,62.700001,62.099998,62.459999,61.839043,819200
2017-08-24,62.549999,63.029999,62.459999,62.509998,61.888546,759600
2017-08-25,62.799999,63.000000,62.389999,62.520000,61.898453,577100
2017-08-28,62.590000,62.779999,62.119999,62.380001,61.759838,431900
2017-08-29,61.840000,62.650002,61.770000,62.570000,61.947956,678200
2017-08-30,62.509998,62.790001,62.470001,62.680000,62.056854,684300
2017-08-31,62.700001,63.299999,62.660000,63.250000,62.621189,1187900
2017-09-01,63.299999,63.520000,62.919998,63.230000,62.601387,1101500
2017-09-05,63.209999,63.459999,62.830002,63.009998,62.383575,793700
2017-09-06,63.400002,63.490002,63.040001,63.459999,62.829105,848300
2017-09-07,63.509998,63.630001,62.820000,63.599998,62.967712,702600
2017-09-08,63.520000,64.279999,63.279999,64.050003,63.413246,1163700
2017-09-11,64.320000,64.519997,63.860001,64.410004,63.769657,1034600
2017-09-12,64.570000,65.029999,64.519997,64.919998,64.274590,864900
2017-09-13,64.730003,65.110001,64.559998,65.099998,64.452805,517800
2017-09-14,65.000000,65.300003,64.699997,65.260002,64.700653,760900
2017-09-15,65.220001,65.839996,65.059998,65.330002,64.770058,1328300
2017-09-18,65.489998,66.360001,65.360001,66.309998,65.741653,1016400
2017-09-19,66.199997,66.489998,66.040001,66.370003,65.801147,657800
2017-09-20,66.529999,66.639999,66.080002,66.400002,65.830887,1283700
2017-09-21,66.360001,66.699997,66.029999,66.110001,65.543373,860900
2017-09-22,66.070000,66.169998,65.440002,65.589996,65.027817,1015500
2017-09-25,65.570000,65.739998,64.809998,65.029999,64.472626,1338700
2017-09-26,65.129997,65.769997,65.000000,65.419998,64.859276,1197300
2017-09-27,65.660004,66.389999,65.660004,66.269997,65.701996,1510500
2017-09-28,66.199997,66.300003,65.260002,65.550003,64.988174,940000
2017-09-29,65.470001,66.180000,65.449997,66.040001,65.473969,794500
2017-10-02,66.000000,66.839996,65.650002,66.830002,66.257195,889500
2017-10-03,66.800003,66.889999,66.070000,66.290001,65.721825,1013100
2017-10-04,66.220001,67.050003,66.080002,66.949997,66.376160,661000
2017-10-05,66.900002,67.070000,66.519997,66.860001,66.286934,1070600
2017-10-06,66.769997,67.010002,66.489998,66.989998,66.415833,642200
2017-10-09,67.000000,67.360001,66.739998,67.110001,66.534790,623300
2017-10-10,67.260002,67.379997,66.930000,67.160004,66.584381,1086500
2017-10-11,67.150002,67.190002,66.739998,66.970001,66.396004,880800
2017-10-12,66.889999,67.589996,66.889999,67.110001,66.534790,982000
2017-10-13,67.550003,67.650002,67.150002,67.199997,66.624023,860600
2017-10-16,67.500000,67.779999,67.000000,67.769997,67.189133,518700
2017-10-17,67.750000,68.190002,67.750000,67.919998,67.337852,885200
2017-10-18,68.040001,68.139999,67.570000,67.919998,67.337852,984600
2017-10-19,67.699997,68.400002,67.470001,68.400002,67.813744,680400
2017-10-20,68.709999,68.830002,68.309998,68.580002,67.992203,810400
2017-10-23,68.620003,68.839996,68.300003,68.489998,67.902969,1178400
2017-10-24,68.580002,69.070000,68.580002,68.730003,68.140923,889500
2017-10-25,68.699997,69.050003,67.830002,68.510002,67.922798,987100
2017-10-26,68.930000,69.309998,68.529999,69.230003,68.636627,843300
2017-10-27,69.099998,69.419998,68.750000,69.190002,68.596970,1006300
2017-10-30,70.260002,70.260002,67.610001,67.629997,67.050346,1634500
2017-10-31,67.750000,67.980003,67.300003,67.489998,66.911545,1406400
2017-11-01,67.940002,67.970001,66.919998,67.250000,66.673599,1860900
2017-11-02,67.790001,68.510002,66.970001,68.379997,67.793907,3550300
2017-11-03,68.779999,69.110001,67.489998,67.660004,67.080086,2380600
2017-11-06,67.750000,68.760002,67.620003,68.550003,67.962463,1500000
2017-11-07,68.589996,68.889999,68.279999,68.559998,67.972366,1352000
2017-11-08,68.250000,68.599998,67.529999,68.050003,67.466736,1322200
2017-11-09,67.699997,68.599998,67.599998,68.010002,67.427078,1284000
2017-11-10,67.849998,68.339996,67.680000,68.230003,67.645210,1039700
