Date,Open,High,Low,Close,Adj Close,Volume
2018-02-14,null,null,null,null,null,null
2018-02-15,null,null,null,null,null,null
2018-02-16,null,null,null,null,null,null
2018-02-20,null,null,null,null,null,null
2018-02-21,null,null,null,null,null,null
2018-02-22,null,null,null,null,null,null
2018-02-23,null,null,null,null,null,null
2018-02-26,null,null,null,null,null,null
2018-02-27,null,null,null,null,null,null
2018-02-28,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-03-02,null,null,null,null,null,null
2018-03-05,null,null,null,null,null,null
2018-03-06,null,null,null,null,null,null
2018-03-07,null,null,null,null,null,null
2018-03-08,null,null,null,null,null,null
2018-03-09,null,null,null,null,null,null
2018-03-12,null,null,null,null,null,null
2018-03-13,null,null,null,null,null,null
2018-03-14,null,null,null,null,null,null
2018-03-15,null,null,null,null,null,null
2018-03-16,null,null,null,null,null,null
2018-03-19,null,null,null,null,null,null
2018-03-20,null,null,null,null,null,null
2018-03-21,null,null,null,null,null,null
2018-03-22,null,null,null,null,null,null
2018-03-23,null,null,null,null,null,null
2018-03-26,null,null,null,null,null,null
2018-03-27,null,null,null,null,null,null
2018-03-28,null,null,null,null,null,null
2018-03-29,null,null,null,null,null,null
2018-04-02,null,null,null,null,null,null
2018-04-03,null,null,null,null,null,null
2018-04-04,null,null,null,null,null,null
2018-04-05,null,null,null,null,null,null
2018-04-06,null,null,null,null,null,null
2018-04-09,null,null,null,null,null,null
2018-04-10,null,null,null,null,null,null
2018-04-11,null,null,null,null,null,null
2018-04-12,20.000000,21.850000,19.120001,20.000000,20.000000,13102400
2018-04-13,19.799999,20.820000,19.600000,20.600000,20.600000,1864700
2018-04-16,20.879999,20.879999,19.900000,20.600000,20.600000,907900
2018-04-17,20.549999,20.660000,19.000000,19.549999,19.549999,1152500
2018-04-18,19.610001,20.420000,19.073999,19.559999,19.559999,885800
2018-04-19,19.570000,19.719999,19.211000,19.650000,19.650000,463400
2018-04-20,19.549999,19.730000,19.450001,19.719999,19.719999,300100
2018-04-23,19.830000,20.100000,19.618000,20.000000,20.000000,341700
2018-04-24,20.120001,20.120001,19.410000,19.700001,19.700001,308500
2018-04-25,19.719999,19.730000,19.400000,19.610001,19.610001,272800
2018-04-26,19.680000,20.280001,19.601999,20.280001,20.280001,218800
2018-04-27,19.870001,20.219999,19.549999,19.610001,19.610001,573900
2018-04-30,19.549999,19.879999,19.200001,19.260000,19.260000,211800
2018-05-01,19.370001,19.891001,19.280001,19.670000,19.670000,149700
2018-05-02,19.920000,20.190001,19.500000,19.590000,19.590000,220000
2018-05-03,19.590000,20.020000,19.200001,19.660000,19.660000,283000
2018-05-04,19.870001,19.980000,19.379000,19.549999,19.549999,145600
2018-05-07,19.389999,19.469999,18.750000,19.250000,19.250000,417100
2018-05-08,19.280001,19.660000,19.110001,19.510000,19.510000,167900
2018-05-09,19.480000,19.900000,19.330000,19.790001,19.790001,123400
2018-05-10,19.799999,20.180000,19.420000,20.040001,20.040001,169500
2018-05-11,20.080000,20.350000,19.510000,20.160000,20.160000,264400
2018-05-14,20.299999,20.350000,19.750000,19.889999,19.889999,160000
2018-05-15,19.809999,19.844999,19.170000,19.219999,19.219999,193000
2018-05-16,19.230000,19.709999,19.200001,19.360001,19.360001,108000
2018-05-17,19.299999,19.750000,19.299999,19.690001,19.690001,68500
2018-05-18,19.660000,20.020000,19.650000,19.670000,19.670000,99100
2018-05-21,19.639999,19.739000,19.329000,19.629999,19.629999,153800
2018-05-22,19.660000,19.770000,19.660000,19.730000,19.730000,131200
2018-05-23,19.600000,20.299000,19.580000,20.010000,20.010000,301700
2018-05-24,20.000000,21.240000,19.650000,21.010000,21.010000,309000
2018-05-25,20.969999,22.188999,20.969999,21.400000,21.400000,410000
2018-05-29,21.400000,21.510000,20.000000,20.670000,20.670000,329600
2018-05-30,20.900000,22.010000,20.670000,21.940001,21.940001,316300
2018-05-31,21.840000,22.959999,21.670000,22.180000,22.180000,429800
2018-06-01,23.120001,27.500000,22.219999,26.400000,26.400000,2136900
2018-06-04,29.160000,29.879999,27.299999,28.020000,28.020000,1969200
2018-06-05,28.709999,29.930000,28.170000,28.540001,28.540001,1187800
2018-06-06,28.900000,31.000000,28.680000,30.200001,30.200001,1076100
2018-06-07,30.740000,30.777000,27.150000,27.799999,27.799999,1050500
2018-06-08,28.040001,29.570000,28.010000,29.230000,29.230000,535300
2018-06-11,29.469999,32.549999,29.280001,31.530001,31.530001,1168400
2018-06-12,32.290001,33.080002,28.969999,29.000000,29.000000,1369100
2018-06-13,29.750000,30.150000,29.100000,29.740000,29.740000,1000600
2018-06-14,30.750000,32.970001,30.580000,31.340000,31.340000,1525400
2018-06-15,31.549999,36.000000,31.250000,34.630001,34.630001,4141900
2018-06-18,35.060001,37.779999,34.110001,37.090000,37.090000,3329400
2018-06-19,36.060001,37.689999,32.660000,33.509998,33.509998,2736700
2018-06-20,35.840000,35.869999,32.000000,32.009998,32.009998,1720900
2018-06-21,31.959999,32.049999,28.879999,29.190001,29.190001,2759400
2018-06-22,29.639999,29.910000,26.600000,27.639999,27.639999,2570700
2018-06-25,26.670000,29.000000,26.280001,28.680000,28.680000,1873900
2018-06-26,29.000000,30.100000,27.090000,27.469999,27.469999,1553800
2018-06-27,27.600000,28.490000,26.459999,26.959999,26.959999,1651400
2018-06-28,26.760000,28.480000,26.660000,28.330000,28.330000,1099800
2018-06-29,28.690001,30.680000,27.190001,27.200001,27.200001,1842200
2018-07-02,27.540001,28.680000,27.180000,28.490000,28.490000,1552700
2018-07-03,28.400000,28.825001,27.650000,28.320000,28.320000,649700
2018-07-05,28.370001,28.990000,26.680000,26.740000,26.740000,1516800
2018-07-06,27.080000,27.690001,25.820000,26.309999,26.309999,1219100
2018-07-09,26.709999,27.000000,25.610001,26.070000,26.070000,1331400
2018-07-10,26.410000,26.500000,24.549999,24.780001,24.780001,2243900
2018-07-11,24.299999,25.049999,24.120001,24.260000,24.260000,1628100
2018-07-12,24.510000,26.700001,24.150000,25.889999,25.889999,1934400
2018-07-13,25.790001,25.940001,23.870001,25.690001,25.690001,1487000
2018-07-16,25.230000,25.480000,24.250000,24.410000,24.410000,1051200
2018-07-17,24.299999,26.870001,24.290001,26.580000,26.580000,1740600
2018-07-18,26.850000,27.990000,26.120001,27.180000,27.180000,1658400
2018-07-19,27.090000,27.660000,25.500000,25.809999,25.809999,1400000
2018-07-20,26.000000,26.469999,25.219999,25.270000,25.270000,929900
2018-07-23,25.219999,26.639999,24.620001,26.540001,26.540001,905700
2018-07-24,26.799999,27.441000,25.010000,25.250000,25.250000,1086500
2018-07-25,25.450001,26.450001,25.410000,26.309999,26.309999,752400
2018-07-26,25.740000,26.740000,25.430000,26.030001,26.030001,431500
2018-07-27,26.180000,26.549999,24.660000,25.120001,25.120001,1027200
2018-07-30,25.120001,25.379999,22.879999,22.930000,22.930000,1369100
2018-07-31,23.500000,25.200001,22.500000,24.530001,24.530001,1920200
2018-08-01,24.180000,25.138000,23.770000,24.580000,24.580000,848800
2018-08-02,24.370001,26.000000,24.000000,25.830000,25.830000,1118100
2018-08-03,26.530001,26.559999,25.000000,25.180000,25.180000,955300
2018-08-06,25.280001,28.230000,25.260000,28.000000,28.000000,1398100
